学校名称,学校标识码,主管部门,所在省份,所在城市,办学层次,学校性质
苏州工艺美术职业技术学院,4132010960,江苏省,江苏省,苏州市,专科,公办
连云港职业技术学院,4132011050,江苏省,江苏省,连云港市,专科,公办
镇江市高等专科学校,4132011051,江苏省,江苏省,镇江市,专科,公办
南通职业大学,4132011052,江苏省,江苏省,南通市,专科,公办
苏州市职业大学,4132011054,江苏省,江苏省,苏州市,专科,公办
沙洲职业工学院,4132011288,江苏省,江苏省,苏州市,专科,公办
扬州市职业大学,4132011462,江苏省,江苏省,扬州市,专科,公办
连云港师范高等专科学校,4132011585,江苏省,江苏省,连云港市,专科,公办
江苏经贸职业技术学院,4132012047,江苏省,江苏省,南京市,专科,公办
九州职业技术学院,4132012054,江苏省教育厅,江苏省,徐州市,专科,民办
硅湖职业技术学院,4132012078,江苏省教育厅,江苏省,苏州市,专科,民办
泰州职业技术学院,4132012106,江苏省,江苏省,泰州市,专科,公办
常州信息职业技术学院,4132012317,江苏省,江苏省,常州市,专科,公办
江苏联合职业技术学院,4132012678,江苏省,江苏省,南京市,专科,公办
江苏海事职业技术学院,4132012679,江苏省,江苏省,南京市,专科,公办
应天职业技术学院,4132012680,江苏省教育厅,江苏省,南京市,专科,民办
